Year Plot,Plot,community,year,slope,Pos,Maint,RowCol,Herb,Mix,native_species_richness,total_native_cover,NN.Cov,ACMGLA,ACMSTR,ARTCAL,CASEXS,CIROCC,DEIFAS,ENCCAL,ERIFAS,ESCCAL,EUCCHR,GRICAM,ISOMEN,LEYCON,LUPMIC,LUPSUC,MALSAX,MIRCAL,PHACIC,PLAERE,SALAPI,SALCOL,STIPUL,photo_cwm,wue_cwm,sla_cwm,N_cwm,seed_cwm,rdiam_cwm,rmf_cwm,srl_cwm,rtd_cwm,multivariate_FDis,photo_fd,wue_fd,sla_fd,N_fd,seed_fd,rdiam_fd,rmf_fd,srl_fd,rtd_fd
2012 CSSAllHNorthLower11_W,CSSAllHNorthLower11_W,CSS,2012,North,Lower,H,11,W,All,6,100,16.66666667,8.333333333,0,0,0,0,0,0,20.83333333,8.333333333,0,0,0,4.166666667,0,0,0,0,45.83333333,0,0,0,12.5,21.61631898,55.3543275,102.081802,3.780277778,0.001189167,0.350188672,0.500283256,283.9304236,0.04771946,2.31403464,0.524696551,0.793776465,0.566047888,0.521028844,0.100539871,0.214358399,0.836166097,1.099171996,0.890026966
2012 CSSAllHNorthLower13_W,CSSAllHNorthLower13_W,CSS,2012,North,Lower,H,13,W,All,4,125,0,0,0,0,0,0,0,0,4.166666667,8.333333333,0,0,0,0,0,0,12.5,0,100,0,0,0,0,22.66696647,39.46226861,128.8579649,4.136,0.0007915,0.335808061,0.456972091,355.4402802,0.035235541,0.980326302,0.177162852,0.302105517,0.348680739,0.436024013,0.020595752,0.127138152,0.317948995,0.483036623,0.270464824
2012 CSSAllHNorthLower21_W,CSSAllHNorthLower21_W,CSS,2012,North,Lower,H,21,W,All,6,129.1666667,16.66666667,0,0,0,0,0,0,0,8.333333333,25,0,0,0,0,0,0,20.83333333,0,62.5,0,0,8.333333333,4.166666667,24.49374755,46.26703183,134.2180671,4.542688172,0.000871871,0.338103552,0.478151927,336.2077709,0.040164696,1.912714795,0.555330772,0.439460221,0.545190076,0.779766894,0.042343024,0.233324623,0.612226702,0.988167648,0.448989307
2012 CSSAllHNorthLower23_W,CSSAllHNorthLower23_W,CSS,2012,North,Lower,H,23,W,All,5,170.8333333,8.333333333,0,0,0,0,0,4.166666667,4.166666667,0,58.33333333,0,0,0,4.166666667,0,0,0,0,100,0,0,0,0,26.1087423,42.76282851,130.8373513,4.655284553,0.000988073,0.304297729,0.459469879,409.1433955,0.038018006,1.60863902,0.63230697,0.371698845,0.272142217,0.861287494,0.024682896,0.211564901,0.342945915,0.712946046,0.39280104
2012 CSSAllHNorthLower31_W,CSSAllHNorthLower31_W,CSS,2012,North,Lower,H,31,W,All,4,29.16666667,25,0,0,0,0,0,0,0,4.166666667,0,0,0,0,4.166666667,0,0,8.333333333,0,0,0,0,0,0,21.07720947,71.33175149,136.8941274,4.245,0.000659125,0.421484524,0.572629021,141.4181116,0.057783016,2.145010806,0.359601271,0.378535939,1.311096214,0.953375389,0.084731572,0.223093174,0.564239093,0.247355842,0.763565724
2012 CSSAllHNorthLower33_W,CSSAllHNorthLower33_W,CSS,2012,North,Lower,H,33,W,All,5,150,8.333333333,0,0,0,0,0,0,4.166666667,0,50,0,0,0,0,0,0,0,0,83.33333333,0,4.166666667,0,8.333333333,25.51763495,45.03996819,126.1296605,4.607962963,0.001184722,0.306863729,0.458420944,398.443512,0.039377882,1.733763407,0.656100331,0.451411279,0.294932802,0.873145481,0.056296882,0.214713407,0.301881296,0.759072625,0.463199944
2012 CSSAllHNorthUpper11_W,CSSAllHNorthUpper11_W,CSS,2012,North,Upper,H,11,W,All,2,33.33333333,8.333333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,25,0,0,0,0,24.96151864,37.77327406,128.0500547,4.429166666,0.000925625,0.30530664,0.445081415,413.2329448,0.034974118,1.092216438,0.517417682,0.184452298,0.199983491,0.719424977,0.015608682,0.157309616,0.042267997,0.503890077,0.230099121
2012 CSSAllHNorthUpper13_W,CSSAllHNorthUpper13_W,CSS,2012,North,Upper,H,13,W,All,5,108.3333333,4.166666667,0,0,0,0,0,0,8.333333333,4.166666667,4.166666667,0,0,0,0,0,0,20.83333333,0,70.83333333,0,0,0,0,21.84313842,48.55405119,134.700092,4.287307692,0.000769981,0.360881067,0.475134855,309.1157222,0.037751562,1.718178827,0.18153858,0.714385646,0.542377233,0.567645663,0.035114337,0.263895431,0.604011874,0.913506799,0.417907073
2012 CSSAllHNorthUpper21_W,CSSAllHNorthUpper21_W,CSS,2012,North,Upper,H,21,W,All,3,100,0,0,0,0,0,0,0,0,0,20.83333333,0,0,0,0,0,0,0,0,75,0,0,4.166666667,0,24.895683,38.27582052,127.5690669,4.379722222,0.000915292,0.311314529,0.449747489,400.1776202,0.034915079,1.072799231,0.504769348,0.213840983,0.184041933,0.654255691,0.013619921,0.143069909,0.138757116,0.468028686,0.224800531
2012 CSSAllHNorthUpper23_W,CSSAllHNorthUpper23_W,CSS,2012,North,Upper,H,23,W,All,4,66.66666667,37.5,0,0,0,0,0,0,0,4.166666667,4.166666667,0,0,0,0,0,0,0,0,37.5,0,0,0,0,22.62890151,38.67839473,118.2409012,3.979393939,0.000835182,0.320183487,0.454451145,372.8931339,0.03545947,0.816924995,0.242472136,0.258963641,0.248628225,0.333465345,0.012048575,0.070146714,0.265595385,0.282352591,0.298535509
